xxxx;;;;;;;;;;;;;;x
europe;欧洲;;;;;;;;;;X
asia;亚洲;;;;;;;;;;X
africa;非洲;;;;;;;;;;X
north_america;北美;;;;;;;;;;X
south_america;南美;;;;;;;;;;X
oceania;大洋洲;;;;;;;;;;X
PROV1;瓦朗厄尔半岛;;;;;;;;;;X
PROV2;雷普沃格;;;;;;;;;;X
PROV3;韦利讷;;;;;;;;;;X
PROV4;诺尔辰角半岛;;;;;;;;;;X
PROV5;嘉蒂;;;;;;;;;;X
PROV6;伯塞尔夫;;;;;;;;;;X
PROV7;斯托菲尤尔;;;;;;;;;;X
PROV8;博茨菲尤尔;;;;;;;;;;X
PROV9;特罗姆瑟;;;;;;;;;;X
PROV10;特罗姆斯;;;;;;;;;;X
PROV11;阿尔泰;;;;;;;;;;X
PROV12;拉克塞尔夫;;;;;;;;;;X
PROV13;拉斯特盖萨;;;;;;;;;;X
PROV14;巴特恩;;;;;;;;;;X
PROV15;克朗斯;;;;;;;;;;X
PROV16;莫尔河出口;;;;;;;;;;X
PROV17;特罗姆斯郡;;;;;;;;;;X
PROV18;阿尔塔埃尔瓦;;;;;;;;;;X
PROV19;卢莱萨米湖;;;;;;;;;;X
PROV20;斯库甘瓦勒;;;;;;;;;;X
PROV21;拉夫瓦加福利;;;;;;;;;;X
PROV22;波尔马克;;;;;;;;;;X
PROV23;希尔克内斯;;;;;;;;;;X
PROV24;塞哈;;;;;;;;;;X
PROV25;北肖斯博滕;;;;;;;;;;X
PROV26;米耶龙;;;;;;;;;;X
PROV27;马西;;;;;;;;;;X
PROV28;高托凯诺;;;;;;;;;;X
PROV29;卡拉绍克;;;;;;;;;;X
PROV30;欧塔科斯基;;;;;;;;;;X
PROV31;乌茨约基;;;;;;;;;;X
PROV32;科拉半岛;;;;;;;;;;X
PROV33;皮特沙摩;;;;;;;;;;X
PROV34;北莫尔斯克;;;;;;;;;;X
PROV35;捷里别尔卡;;;;;;;;;;X
PROV36;特伦沃尔;;;;;;;;;;X
PROV37;斯泰因奥尔森;;;;;;;;;;X
PROV38;海利格斯库根;;;;;;;;;;X
PROV39;伽尔戈加利;;;;;;;;;;X
PROV40;希尔皮湖;;;;;;;;;;X
PROV41;莱蒂加维;;;;;;;;;;X
PROV42;阿纳约卡;;;;;;;;;;X
PROV43;卡马宁;;;;;;;;;;X
PROV44;上弗吕肯;;;;;;;;;;X
PROV45;卢奥斯塔里;;;;;;;;;;X
PROV46;摩尔曼斯克;;;;;;;;;;X
PROV47;凡尔纳—捷列茨科耶;;;;;;;;;;X
PROV48;丹尼尔—泽勒尼;;;;;;;;;;X
PROV49;欣岛;;;;;;;;;;X
PROV50;库拉索岛;;;;;;;;;;X
PROV51;廷赛特;;;;;;;;;;X
PROV52;罗斯塔;;;;;;;;;;X
PROV53;库玛沃皮奥;;;;;;;;;;X
PROV54;库塔宁;;;;;;;;;;X
PROV55;佩尔托武奥马;;;;;;;;;;X
PROV56;伊纳里;;;;;;;;;;X
PROV57;塞韦蒂耶尔维;;;;;;;;;;X
PROV58;科洛斯乔齐;;;;;;;;;;X
PROV59;科拉;;;;;;;;;;X
PROV60;松古伊;;;;;;;;;;X
PROV61;佩尔希亚夫尔;;;;;;;;;;X
PROV62;扎合力贝特诺伊;;;;;;;;;;X
PROV63;哈洛克;;;;;;;;;;X
PROV64;瓦尔济诺;;;;;;;;;;X
PROV65;威尔纳克;;;;;;;;;;X
PROV66;默恩达尔;;;;;;;;;;X
PROV67;阿尔特湖;;;;;;;;;;X
PROV68;阿尔斯塔诺;;;;;;;;;;X
PROV69;卡雷苏安多;;;;;;;;;;X
PROV70;埃农泰基厄;;;;;;;;;;X
PROV71;利斯马;;;;;;;;;;X
PROV72;瑙齐;;;;;;;;;;X
PROV73;乌卢斯;;;;;;;;;;X
PROV74;塔夫拉;;;;;;;;;;X
PROV75;奥列涅戈尔斯克;;;;;;;;;;X
PROV76;洛沃泽罗;;;;;;;;;;X
PROV77;特鲁法诺瓦;;;;;;;;;;X
PROV78;约坎加;;;;;;;;;;X
PROV79;内角卡宁诺斯;;;;;;;;;;X
PROV80;博多;;;;;;;;;;X
PROV81;博尔格内斯;;;;;;;;;;X
PROV82;阿力泰维;;;;;;;;;;X
PROV83;阿比斯库;;;;;;;;;;X
PROV84;维唐吉;;;;;;;;;;X
PROV85;穆奥多斯隆波洛;;;;;;;;;;X
PROV86;穆奥尼奥;;;;;;;;;;X
PROV87;基蒂莱;;;;;;;;;;X
PROV88;库图拉;;;;;;;;;;X
PROV89;伊瓦洛;;;;;;;;;;X
PROV90;霍伊赫贾维;;;;;;;;;;X
PROV91;拉普兰;;;;;;;;;;X
PROV92;摩尔曼斯克;;;;;;;;;;X
PROV93;列夫达;;;;;;;;;;X
PROV94;波尔莫斯;;;;;;;;;;X
PROV95;沃洛达尔斯基;;;;;;;;;;X
PROV96;索杰纳;;;;;;;;;;X
PROV97;卡缅卡;;;;;;;;;;X
PROV98;福斯克;;;;;;;;;;X
PROV99;里瑟姆;;;;;;;;;;X
PROV100;叙奥尔瓦谷;;;;;;;;;;X
PROV101;基律纳;;;;;;;;;;X
PROV102;帕拉卡;;;;;;;;;;X
PROV103;阿雷瓦拉;;;;;;;;;;X
PROV104;科拉利;;;;;;;;;;X
PROV105;波卡;;;;;;;;;;X
PROV106;萨里山;;;;;;;;;;X
PROV107;萨伏科斯基;;;;;;;;;;X
PROV108;拉普兰—扎波韦德地区;;;;;;;;;;X
PROV109;蒙切戈尔斯克;;;;;;;;;;X
PROV110;基洛夫;;;;;;;;;;X
PROV111;莫特卡湾;;;;;;;;;;X
PROV112;泽罗;;;;;;;;;;X
PROV113;卡涅夫卡;;;;;;;;;;X
PROV114;格列米哈;;;;;;;;;;X
PROV115;伦博夫卡;;;;;;;;;;X
PROV116;诺德兰摩尔福德;;;;;;;;;;X
PROV117;叙利切尔马;;;;;;;;;;X
PROV118;科瓦库约克;;;;;;;;;;X
PROV119;夏克夏湖;;;;;;;;;;X
PROV120;耶利瓦勒;;;;;;;;;;X
PROV121;塔伦多;;;;;;;;;;X
PROV122;帕贾拉;;;;;;;;;;X
PROV123;洛希尼瓦;;;;;;;;;;X
PROV124;苏丹屈莱;;;;;;;;;;X
PROV125;昙华;;;;;;;;;;X
PROV126;阿拉库尔蒂;;;;;;;;;;X
PROV127;恩加夫卡;;;;;;;;;;X
PROV128;阿帕季特;;;;;;;;;;X
PROV129;别列佐夫卡;;;;;;;;;;X
PROV130;因杰利;;;;;;;;;;X
PROV131;科达;;;;;;;;;;X
PROV132;西扎;;;;;;;;;;X
PROV133;池塘;;;;;;;;;;X
PROV134;阿格斯卡雷特;;;;;;;;;;X
PROV135;诺德兰;;;;;;;;;;X
PROV136;韦斯特菲耶尔;;;;;;;;;;X
PROV137;肖莫蒂斯;;;;;;;;;;X
PROV138;约克莫克市;;;;;;;;;;X
PROV139;极圈;;;;;;;;;;X
PROV140;上卡利克斯;;;;;;;;;;X
PROV141;佩洛;;;;;;;;;;X
PROV142;乌纳里;;;;;;;;;;X
PROV143;凯米湖;;;;;;;;;;X
